Q,A
제발 도와줘,무엇을 도와드리면 될까요.
제발 도와줘,어떻게 도와드릴까요?
텀블러를 잊었어,괜찮아요. 다음에 가져가면 되죠.
텀블러 까먹었다.,"괜찮아, 다음엔 할 수 있어"
좋아하는 티도 못내는 제가 너무 불쌍해요.,상황이 옳지 않다고 생각합니다.
결혼식 전에 혼란스러웠어요,정신적으로 육체적으로 힘들고 인생의 큰 변화니까요.
결혼 전에 혼란스러워,"정신적으로나 육체적으로 힘들고, 제 인생에서 큰 변화를 가져왔습니다."
조금은 허구적인 것 같아요,채워질 거예요.
춘곤증인가,잠깐만요
참여,또 다른 인연이 있기 마련이죠.
인연,또 다른 상호작용이 있습니다.
왜 여자친구가 이렇게 바쁘는지 모르겠어요,여자친구의 서운함을 풀어주려 노력해보세요.
연락이 가능한가요?,만나는게 더 좋겠지만 가능하겠죠.
넘 많이 먹었다.,산책하러 가야겠어
어려운 인간관계와 좋은 인간관계의 차이점은 무엇일까요?,잘 헤어질 수 있는 사이 여부인 거 같아요.
힘든 연애 좋은 연애라는게 무슨 차이일까?,헤어질 수 있는 좋은 방법이라고 생각합니다.
나도 느낄 수 있어,사랑의 느낌이길 바라요.
느낌이 왔어,사랑이 느껴졌으면 좋겠어요.
의사소통이 불가능하기 때문에 잠을 자십니까?,피곤해서 자고 있을지도 몰라요.
발렌타인 데이로 고백할 수 있나요?,선물을 주면서 솔직하고 당당하게 고백해보세요.
발렌타인데이에 고백할까요?,선물을 주고 솔직하고 솔직하게 고백하라.
위로가 되는 좋은글이 있어 올려,고마워요 저도 위로가 될 거예요
"오늘 마지막 전화 후, 청소.",언젠간 왔을 이별인가봐요.
오늘마지막 통화후 깔끔히 정리,언젠가는 여기 있을 것 같아요
두 번째 헤어 스토리,이별이 번복되어도 힘든건 마찬가지이죠.
두 번째 이별 이야기,분리하기가 힘들 때도 마찬가지죠.
만나서 반가워,사랑하는 사람의 연락이었나봐요.
쇼핑 좀 해볼까,뭔가 필요해
전달을 봤어요,제 얼굴 보셨나봐요.
우리가 함께 했던 회사를 떠나 1년간의 여행을 떠나자.,큰 용기가 필요하겠네요.
다니던 회사를 그만두고 1년간 여행을 가자고 해.,많은 용기가 필요합니다.
일하지 않는 동료가 있나요?,알고 있을 거예요.
내가 이 모든 시간 동안 해왔던 일이야,바람 좀 쐬고 오시면 좋은텐데.
난 살아서 너무 피곤해,지칠 때는 쉬어도 돼요.
사는게 날 너무 지치게 해,피곤할 때 휴식을 취할 수 있습니다.
무슨 말인지 모르겠어,정정기간을 노려 보세요.
수강신청 망했어,정확한 시간을 찾아보세요.
갈라짐이 돌아오고 있는 것 같아,더 두렵겠네요.
이별이 다시 올거 같은 느낌,더 무서워요
애가 좋아할 때 먼저 전화하냐?,대부분은 먼저 연락하곤 해요.
보통 좋아하는 애 생기면 먼저 연락해?,우리 대부분은 먼저 전화합니다.
로터 코스터를 타는 느낌이죠.,만남과 헤어짐 때문에 변덕스럽게 변해가요.
헤어진지 한달 좀 넘었네,시간이 지남에 따라 당신의 마음은 그렇게 될 것입니다.
난 네가 사랑할 수 없는 사랑을 사랑해,위험한 사랑이네요.
사랑하면 안될 사랑을 사랑하고 있어,위험한 사랑이야
다시 붙잡고 싶은데 돌아올까.,정말 하고 싶다면 진실을 말해
커플들과 악몽을 꾸는 것에 대한 불확실성.,악몽이라니 걱정되겠어요.
의심스러운 게 있나요?,해결될 거니 기다려보세요.
내 남자친구는 별로 활동적이지 않아요.,적극적으로 리드해보세요.
남자친구가 적극적이지가 않아.,활발하게 이끌어라.
결혼식에 준비하고 있어 그 전에 본 적 없는 것들을 보고 있어,본 모습일지도 몰라요.
결혼 준비하면서 못 보던 모습을 보게 돼,어쩌면 내가 봤던 것일지도 모른다.
도둑질은 흔한 일이 아닙니다.,티가 나니까 눈치가 보이는 거죠!
훔쳐보는 것도 눈치 보임.,내 티가 있어 볼 수 있어!
제 여자친구의 부모님은 저를 조금 무시했습니다.,당황스러웠겠어요.
여자친구 부모님이 나를 좀 무시했어,부끄러웠을 겁니다.
뇌용량 초과,눈을 감고 명상하라
내 남자친구는 돈이 별로 없어요.,정말 현실적인 문제네요.
남자친구가 돈이 너무 없어.,정말 심각한 문제입니다.
주말에 연락할 수 있나요?,주말 전에 연락해서 주말에 만나야죠.
이번 주말 그녀에게 연락해 볼까?,주말 전에 전화해서 이 주말에 보자.
꿈이라고 불리는 비상상태입니다.,꿈도 내 맘같으면 좋을텐데요.
드라마같은 사랑 하고 싶어,드라마는 현실과 다르다.
매일 사랑해,표현하는 게 좋죠.
매일매일 사랑해,표현하는 게 좋다.
5년 10개월 동안 사랑에 빠졌는데 이제 헤어질 준비를 하고 있어요,준비하는 시간도 힘들 거 같아요.
5년 10개월간 연애. 그리고 이별 준비 중,준비하기가 어렵다고 생각합니다.
친구라도 될 걸 그랬나봐요.,그는 여전히 그의 편에 단단한 그가 친구로 남아 있었다면.
나 말 실수한 거 같아.,생각해봐
그냥 끄세요.,스스로에게 하는 말인가요.
그냥 차단이나 하지.,자기 자신에게 뭐라고?
늙고 죽는 것 같군,속 타 죽기 전에 표현해보세요.
내 친구가 너무 좋아해요,아닌 건 아니라고 말하세요.
난 작별인사를 하지 않을거야,뭐라도 얘기를 하면 좀 나아질 거예요.
이별얘기 끄저그적,"만약 당신이 어떤 것에 대해 이야기한다면, 그것은 더 좋을 것입니다."
여자들은 좋은 남자를 좋아합니까?,모두가 착한 사람에겐 호의적이에요.
여자들은 착한 남자를 좋아하나요?,모든 사람이 좋은 사람을 좋아하죠.
내가 미쳤어,무슨 일 있었나봐요.
미치겠습니다,뭔가 일어난 것 같아요.
사랑이야,무엇이든 말해보세요.
이럴경우 연락안오겠죠?,계속 기다린다면 자신을 다치게 될 겁니다.
나 정말 무뎌지고있나봐,이것은 자연스러운 현상입니다.
오늘처럼 잠을 잘고 싶어요.,부디 편안히 잘 수 있긴 바랄게요.
내 여자친구는 교환학생입니다.,기다릴 수 있을지 스스로에게 물어보세요.
여자친구가 교환학생 간대,기다릴 수 있는지 물어보세요.
왜 내가 널 사랑한다고 말하지 않는가?,표현이 어색해서 그럴 수도 있어요.
왜 사랑한다고 표현을 안 할까?,그 표현이 어색하기 때문일지도 모릅니다.
저는 수학 여행을 떠나고 있습니다.,친구들과 좋은 추억 만들고 오세요.
나 수학여행 간다,친구들과 함께 좋은 추억을 만들어보세요.
내 남자친구는 너무 어린애처럼 대접하고 있는 것 같습니다.,당신이 너무 귀여운가봐요.
내 머릿속으로 계속 생각하고 있어요,맘처럼 할 수만 있다면 좋을텐데 애석해요.
머릿속에서 계속 생각이 나,내 방식대로 할 수 있었으면 좋겠어요.
오래 못 가는 연애,"사랑은 문제가 될 때, 문제를 해결하기 위해 함께 노력하는 과정입니다. 그리고 그 안에서 더 강해지는 과정이죠. 하지만 그냥 피할 수는 없습니다."
카카오톡 계정은 비활성화되었습니다.,괜찮은 방법이에요.
정말 힘든 일이야 결혼에 대해 생각해볼 때가 됐어,중요하니까 생각할 시간이 더 필요하겠죠.
정말 힘드네. 결혼 앞두고 생각할 시간.,생각하기에 더 많은 시간이 필요해요. 중요한 일이니까요.
어쩔 수 없어요,어쩔 수 없는 일도 있을 거예요.
나혼자 짝사랑하는게 점점 현타 와.,사랑에 빠지는 건 어렵죠.
떨어뜨려서 핸드폰 액정 나갔어,아스 좀 들어봐
자기 자신을 사랑해,중요한 자세해요. 칭찬해줄게요.
자신을 사랑하기,"중요한데요, 칭찬을 드리겠습니다."
저는 커피를 좋아합니다.,저도 커피 좋아해요.
커피가 좋아,저도 커피를 좋아합니다.
오늘따라 보고싶다.,그런 날이 있었습니다.
커피 냄새.,커피는 향이죠.
커피향,커피는 향신료입니다.
미친듯이 보고싶어.,그건 사라질 거야
그냥 누워있어요,때론 쉬어가는 것도 필요해요.
"전 여자친구에게, 세상에서 가장 멍청한 여자한테",하고싶었던 말을 해보세요.
세상에서 제일 이뻣던 내 전 여자친구에게,하고 싶은 대로 해
좋아하는 사람이 단톡에서 다른 남자한테 관심 있는 것 같이 보여요.,"만약 당신이 그렇게 생각한다면, 조금이라도 해결해 보셨으면 좋겠습니다."
"헤이나, 널 믿기 전에 떠나야 했어",말처럼 쉽지 않죠.
혜진아. 내 맘이 너에게 확정되기 전에 날 떠났어야지,말하는 것만큼 쉬운 일이 아닙니다.
어디서 책을 팔죠?,중고서점에서 팔아보세요.
책 어디다 팔아?,중세 서점에서 판매할 수 있습니다.
조심해,잘 견뎌내고 있나봐요. 저한테 기대세요.
참고 있어.,잘 지내고 있다고 생각합니다.
"웃지 마, 넌 엉덩이야",아니에요. 전 쓰레기가 아니에요.
웃기지마 넌 쓰레기야,"아니, 난 똥구멍이 아냐"
미래를 함께할 반려자인지 확신이 아직 없어,확신할 때까지 기다려
난 곤경에 빠질 거야,청소를 좋아하시나봐요.
걸레질도 해야 돼,당신은 청소를 좋아하는 것 같습니다.
좋아하는 남자에게 어떻게 관심을 나타낼 수 있을까요?,칭찬을 자주 해주는 건 어떨까요.
좋아하는 남자애한테 어떻게 관심 표현함?,왜 자주 칭찬하지 않는가?
내 인생에서 처음이야,서툰 게 많지만 다 잘 될 거예요.
내가 캐톡에서 나왔고 복귀됐어,사진이 보여도 차단하세요.
카톡 탈퇴하다가 다시 재가입 했는데,사진을 보시면 차단하세요.
"난 싱글이야, 만나볼까요?",결혼하지 않고 살 수 있을지 생각해보세요.
비혼주의자인데 만나도 될까?,결혼하지 않고 어떻게 살 수 있는지 생각해보세요.
그냥 궁금해서,궁금할 수 있어요.
그냥 궁금해,궁금하실지도 모릅니다.
무슨 생각을 하는지 모르겠지만 고백할 수 있나요?,확실한 생각이 들 때 하세요.
아직 마음을 모르겠는데 고백해도 돼?,명확한 생각을 할 때 해보세요.
좋아하는 감정을 스스로 정리할 수 있나요?,본인이 하기 나름일 거예요.
좋아하는 감정을 혼자서 정리할 수 있을까요?,그건 네 몫이야
예쁜 말인가요?,넓은 마음을 가져보세요.
내가 예민한걸까?,마음을 넓혀라.
썸끝인가요,다시 연락해 주세요.
점심시간에 외출하는 것도 눈치봐야돼,사생활은 보호된다고 생각하지 않습니다.
내 남자친구랑 어울릴 수 있을까?,사랑한다면 선택할 수 있겠죠.
남자친구와 동거 해도되는걸까?,사랑하면 선택할 수 있습니다.
방금 전화를 받았어요,좋은 연락이었으면 좋겠네요.
저는 헤어지고 곧바로 회의로 갔습니다.,새로운 사람도 잊는 방법 중에 하나죠.
전 헤어지고 곧장 소개팅을 했죠.,새로운 사람들을 잊는 방법 중 하나입니다.
잠을 자야 되는데.,생각을 바꾸기는 쉽지 않아요.
마음에 드는 사람이 있는데,그럴 용기가 있어
더 많은 사랑을 줘,사랑해요!
더 사랑해줘,사랑해!
날 도와줄 사람이 공중에서 있어 좋네,우산 같은 사람이네요.
이별이 좋은점,혼자 있는 외로움이 아닐까요?
이상한나의취미.이별을세는것.,헤어지는 것보다 더 가슴 아픈 것은 없습니다.
너 없이는 살 수 없다고 생각했어,마음이 아플 뿐 살 수 있어요.
너가 없으면 못 살 줄 알았는데,고통만이 살아갈 수 있습니다.
랜선 연애 어떻게 생각해?,네 얼굴을 보지 않고 제대로 된 관계를 맺는 것은 불가능할 수도 있지만 나쁘지 않습니다.
이렇게 할 때 싫어요,죄는 미워해도 사람은 미워하지 마세요.
너 이러면 미워한다,죄를 미워하지만 사람을 미워하지 마라.
얼마나 바쁜지 상관없이 연락할 필요가 없나요?,적어도 미리 양해를 구하는게 좋지요.
내 부모님과 달리 헤어졌어,외부적 요인이라 더 그립겠어요.
부모님 반대로 헤어졌습니다,외부 요인이기 때문에 더 많이 놓칠 겁니다.
"내 남편이 데이트하던 사람과 헤어졌는데, 인정할 수 있나요?",좀 기다리다가 천천히 다가가는게 좋겠어요.
짝남이 사귀던 사람이랑 헤어졌는데 내가 고백해도 될까?,조금 더 기다리고 천천히 접근하고 싶습니다.
남편과 행복해?,그 중에 낫다 생각하고 사는 거죠.
남편한테 만족해?,그보다 더 잘 생각하고 살아가세요.
좋아하는거 어떤 느낌임.,어쩌면 당신은 당신의 마음을 통제할 수 없습니다.
우린 헤어졌는데 다시 함께한 거야?,똑같은 것들로 다투시나요.
내 여자친구가 날 사랑하는지 모르겠어,확신이 필요한가봐요.
다시 작별인사를 할게요.,이별은 익숙해지지 않아요.
더 이상 속일 수 없어,남을 속이는건 나쁜거예요.
속이는 거 더 못하겠어,속이는 건 나쁘다.
칭찬 좀 해줘,지금도 충부히 잘하고 있어요.
남편이 나를 사랑한대,내가 사랑에 빠진 것 같아.
똥 좀 먹으면 좋겠어,드세요!
떡볶이 먹고 싶다,한잔 해!
화장품을 사고 싶어요.,필요한 것만 사세요.
화장품 사고 싶어,필요한 걸 사세요.
전화할 수 없어,처음이 어려워요.
진정해,제발 좀 정신차리세요.
더 이상 짝짓기를 하지 않아,마음 단단히 잡긴 바랄게요.
앞으로 짝남 안봐야지.,잘 잡았으면 좋겠어요
오늘 잘 생겼어,자신에게 콩깍지가 씌였나봐요.
방은 불편해요,음식을 시켜보세요.
너무 잘해주면 질려하나?,"만약 당신이 좋은 사람이라면, 당신은 감사할 것입니다."
2개월 반.,많은 시간이 흘렀네요.
데이트하는 게 좋지만 시간이 중요해요 아니면 내가 정상인가요?,내 인생의 주인공은 나야 나!
연애도 좋지만 내 시간도 중요한 나 정상일까?,난 내 인생의 주인공이야!
마지막 편지를 보냈어요,미련이 남았나봐요.
마지막 문자를 보내버렸어,정신이 나간 것 같아요
월욜부터 힘드네.,월요일은 항상 기분 때문에 힘들다고 생각합니다.
괜찮은 건 아냐,더 괜찮아 질 거예요.
괜찮아 지지가 않아,더 나아질 거야
택시를 타고 가자.,좋은 다짐이에요.
내가 주제를 몰랐나봐,당신이 그 주제에 대해 알지 못하면 행복해집니다.
너무 많은 휴대폰을 사용하고 있어요,그래서 저를 만날 수 있죠.
핸드폰 너무 많이 해,날 만날 수 있어
난 그가 상어가고 날아다니는 것 같아요,돌직구를 날릴 차례인 것 같습니다.
언제 여기서 나갈 수 있을까요?,우리에게 달려있을지도 몰라요.
언제쯤 벗어날 수 있을까,우리에게 달려 있을지도 모릅니다.
다시 연락하지 못하면 걱정돼요,더 많이 믿어주세요.
따뜻한 물을 가져오세요,보일러가 온수로 작동하는지 보세요.
따뜻한 물이 안나와,뜨거운 물에서 보일러가 작동하는지 확인하십시오.
아무 말도 안 돼,의미 부여 하다보면 끝도 없어요.
흠 또 괜한 의미부여,의미를 부여하는 것은 끝이 없습니다.
수천일 전에 만난 여자친구에게 작별 인사를 해줘,더 오래 만날 사람 만날 거예요.
알지도 못해요,계속 주고 있었을 거예요.
그저 그런 연애,그게 가장 어려운 부분입니다.
바보같지 아니면 바보같지?,이별 그렇게 만들더라고요.
혈액형이 뭐죠?,전혀 중요하지 않아요.
사랑 의 기간,이별의 유통기한이 없는 것처럼 사랑의 유효기간도 없어요.
사랑의 유효기간,"사랑에는 시간 제한이 없고, 이혼에는 시간 제한이 없습니다."
1년 8개월의 차이는,긴 만남을 잊기는 쉽지 않죠.
이별1년 8개월차,긴 만남을 잊는 것은 쉽지 않습니다.
미사일 피해가 많아요,마스크 쓰세요.
미세먼지 심하대,마스크를 쓰세요
아날로그 감수성이 좋습니다.,저도 사랑해주세요.
아날로그 감성 좋다,나도 사랑해
이제 다 끝났어,마음이 좀 후련해지길 바랄게요.
동촌에서 내가 좋아하는 남자를 만났어!,동아리에 가기 즐거워지겠네요.
좋아하는 남자한테 여친이 있는데 헤어졌으면 좋겠어.,사랑에 빠진 사람을 좋아하기는 어렵습니다.
자연스레 좋아하는 남자에게 어떻게 연락할 수 있을까요?,뭐하고 있는지 물어봐요.
좋아하는 남자애한테 자연스럽게 연락하는 방법 뭐 있을까.,무슨 일을 하는지 물어봐
휴는 마침내 헤어졌어요,마음이 착잡하겠어요.
사랑은 보답인가요?,사랑은 한 없이 줘도 아깝지 않은거라고 생각해요.
사랑은 주고 받는 거지?,사랑 없이 사랑을 주는 건 나쁘지 않은 것 같아요.
심근경색을 당할 것 같아요,많이 답답하신가요.
내가 무의식할 때 신경쓰지 않는 것 같아,상대방을 존중해주세요.
내가 무의식 중에 무시하는 듯한 말투를 썼어,서로 존중해
그녀는 지금 무슨 생각을 할까?,직접 물어보고 싶어요.
우리가 헤어지면서 많은 일이 일어났습니다.,새로운 변화가 생기길 바랍니다.
헤어지고 나서 많은 일들이 있었네.,저는 새로운 변화가 있을 것이라고 믿습니다.
짝사랑인 상대한테 고백했는데 짝남이 오해하게 해서 미안하대.,세상에서 가장 슬픈 일이죠.
먹기 힘들어,그래도 밥 잘 챙겨 드세요.
남사친이 좋아졌으면 어떡해?,개선되면 합리적이어야 합니다.
가슴이 꽉 차있어요,덜 아팠으면 좋겠어요.
가슴 한편이 꾹꾹하네,네가 덜 아프으면 좋겠어.
연애 안 한지 너무 오래 됐어,사랑의 세포를 깨우는 시간입니다.
어떻게 이렇게 다른 남자친구와 얘기할 수 있을까요?,연애는 서로에게 맞춰가는 거예요.
왜 계속 귀엽다고 부르죠?,귀엽다는 의미는 아주 넓답니다.
왜 자꾸 나한테 귀엽다고 하지? 날 좋아하나?,"""아름다운""의 의미는 매우 넓습니다."
사랑에 빠지면 몇 살이 되죠?,사랑에 나이 차이는 상관 없어요.
연애할때 몇살 차이가 적당해?,사랑에 빠진 나이는 신경쓰지 않아요.
첫사랑을 다시 만났어.,새로운 사랑의 시작이 되었으면 좋겠습니다.
눈물을 흘리는 아침,따뜻한 밥 먹고 힘내봐요.
울적한 아침이에,따뜻한 식사를 하고 열심히 일하세요.
내가 이 남자를 사랑한다고?,자꾸 생각난다면 그럴 거예요.
"포기해야 해, 왜 포기해야 해?",미련이 남은 거겠죠.
파트너와 자연스럽게 가까워질 수 있는 방법이 있나요?,공통 관심사를 찾아보세요.
짝남과 자연스럽게 친해질 수 있는 방법 있을까?,공통된 관심사를 찾아보세요.
잘 살아야 해,바뀌어도 힘든 건 비슷하죠.
잘살아야 되는데,변하기는 어렵지만 비슷합니다.
남친 연상인데 오빠라고 불러야 해?,원하는 문서를 선택하세요.
헤어진 지 9일 후,헤어짐을 헤아리지 마세요.
헤어진지 9일,헤어짐을 놓치지 마세요.
졸업식에서 받는 부부가 인상 깊습니까?,부담스럽지 않는 선물을 생각해보세요.
짝남이 졸업하는데 뭘 주면 인상깊을까?,부담이 없는 선물을 생각해보세요.
쓰레기를 안고 있는 나,궁금하다면 어떻게 제거해야 하는지 알아야 합니다.
주말에 자주 찾아오죠.,같이 운동하게 좋겠네요.
주말에도 헬스하러 많이 오네.,당신과 함께 운동을 하고 싶어요.
왜 나만 시키지,괜찮은 것 같아요
4일 간격으로,아직 실감이 안나겠어요.
제발 머리가 나빠졌음 좋겠습니다.,똑똑한 사람이라면 문제가 됩니다.
그녀는 행복할 겁니다.,축복은 누구에게나 찾아오는 거래요.
걔는 행복하게 살텐데,축복은 누구에게나 온다.
나만 왜 이렇게 사랑이 힘들까,두 사람이 만나기 힘들다고 생각해요.
이별하고 욕했어,어쩌면 순간적인 분노 때문일지도 모릅니다.
알바의 집이야 이게 뭐야?,그래도 상관없어요. 칭찬해주고 싶네요.
오늘 기분 좋아,저도 좋아해요
사랑해,헤아릴 수 없는 것.
모터 솔라예요 어떻게 시작하죠?,우선 부딪혀봅시다.
모태솔로인데 어떻게 시작해?,먼저 타자
오늘 다시 연락했어,기다리던 연락이었길 바랍니다.
괜찮다고 생각했어요,안 괜찮아도 돼요.
짝사랑하는 기분이 뭔지 알아요?,"그렇게 생각하지는 않지만, 내가 알고 있다고 생각합니다."
우린 1년 넘게 알고 있지만 여전히 불타고 있어요,정열적인 사랑을 하고 있나봐요.
1년 넘게 만났는데 지금도 불타올라,넌 그를 사랑해
다른 사람들의 눈을 너무 신경쓰고 있어,성격이 그럴 수도 있으니 이해해주세요.
남의 눈을 너무 신경써,그건 성격일 수도 있어요.
썸남 졸업하는데 가도 되나?,정확히 물어보는 게 좋아요.
사랑하기 어렵죠.,사랑은 알다가도 모르겠어요.
먼지 때문이야,마스크 쓰고 다니세요.
먼지 때문에 목아파,마스크를 쓰고 있어
전여친한테 남친이 생겼네,이제 그녀를 잊어라.
"분리되고, 사라지고, 고통스럽고, 다른 여자를 사랑합니다.",이제 과거를 보지 마요.
분하고 그립고 고통스러워.다른 여자 사랑하는 그모습,이제 과거를 보지 마세요.
가슴이 아프네요,가슴 아픈 만큼 행복해지세요.
가슴이 아파,마음이 아프면 행복해
연락하지 말라고 했잖아,때로는 단호한 것도 필요해요.
연락하지 말라고 했어,가끔은 확고한 자세가 필요합니다.
너와 함께하는 게 너무 좋네,행복해 보여서 보기 좋아요.
같이 있으면 너무 좋아,행복해 보이는게 좋죠.
이런 식으로 사는 게 뭐가 잘못됐어?,남에게 피해만 주지 않는다면 상관 없어요.
할말 다 하고 사는 게 나빠?,다른 사람을 해치지 않으면 상관없어요
보내야 돼,힘들겠지만 그러는 편이 나아요.
보내야지.,힘들지만 더 낫습니다.
사귀고 나서 환장이 깨졌어,화를 내지 말고 현실을 보세요.
드디어 다시 헤어지고 있어요,사랑도 또 다시 올 거예요.
결국 또 다시 이별이 오네,사랑은 다시 올 거야
얇고 긴 손가락이 있는 남자.,로망이네요.
손가락이 가늘고 긴 사람,로맨스이야
그 순간을 기다렸어요.,타이밍이 중요하죠.
때를 기다립니다.,타이밍이 중요합니다.
갈 곳이 없어,선생님이나 기관에 연락해보세요.
가출해도 갈 데가 없어,선생님이나 기관에 연락하세요.
마치 수녀가 마라부처럼,남자는 여자하기 나름이래요. 변화시켜 보세요.
예랑이가 마마보이인듯,남자가 여자가 되고 싶어.
2년간의 데이트 끝에,만남을 정리하게 되었나봐요.
2년간 연애끝에,우린 회의를 준비했어
무너진 날 밤,아침이 올 거예요.
생각하면 더 화나고 좌절되죠. 3년 전에 그녀를 만났고 전화로 작별인사를 했어요.,상대에 대한 예의가 없네요. 당신이 버린 거라 생각하세요.
미세먼지 나쁨인가,인터넷에서 검색해보세요.
재회하고 딱5개월만에 헤어졌네,불행히도 어려운 선택이었을 겁니다.
무슨 일이든...,될 거예요.
좋아하는 아이는 플레이보이지만 좋아할 수 있을까?,어떤 사람이냐에 따라 다릅니다.
좋아하는 애가 좀 노는 애인데 좋아해도 돼?,그건 당신이 누구냐에 달려 있습니다.
내 가치와 다른 가치관을 가진 남자를 좋아하기는 어렵습니다.,서로의 가치관이 평행선을 이루지만 않는다면 만날 수도 있을 거예요.
내 가치관이랑 다른 가치관을 가지고 있는 그 남자를 좋아하는게 힘들어.,"만약 서로의 가치들이 일치하지 않는다면, 서로 만나게 될 수도 있습니다."
매일 악몽과 불면증.,전문가를 찾아가보는건 어떨까요. 도움이 될지도 몰라요.
보고싶다,그분 생각으로 가득찼나봐요.
보고싶어 잠이 안와,그는 생각으로 가득 차 있다고 생각합니다.
나를 바꿀 수 있는 무언가가 있나요?,지금 모습도 좋아요
나를 바꿀 수 있는 건 뭐가 있을까,지금 어떻게 생겼는지 좋아해요
그냥 오해와 다람쥐일 뿐이야,저를 찾아줘서 고마워요.
의외로 괜찮은 사람이네,그건 칭찬이야
A라는 남자랑 데이트하고 있어,사소한 걸 기억해보세요.
A형 남자랑 썸을 타게 됨,작은 것들을 기억하세요.
정말 힘들어요,조금만 더 버텨요.
힘드네 정말,조금만 더
자존감이 너무 없어졌네,작은 일을 시작하면 성취감을 느낄 수 있습니다.
바람 때문이야,마음에 부는 바람인지 살펴보세요.
좀 더 오래 걸릴 수 있어요,지금이라도 진심을 보여주세요.
제 생각엔 남자친구를 사랑해,사랑하는 이유를 생각해보세요.
남자친구한테 정 떨어진 거 같아,왜 사랑하는지 생각해보세요.
2개월이 지났어 힘들어,많이 힘들었지만 더 괜찮아 질 거예요.
갑자기 급우울,그래서 저도 우울합니다.
짝남이랑 잘됐으면 좋겠다.,행운을 기원합니다.
뒷맛이 있어요,단맛도 있을 거예요.
무서운 감정기복,습관이 되지 않길 바랍니다.
새로운 사랑을 원하십니까?,마음에 이끌리는대로 하세요.
결혼 준비하는 과정이 행복해,그녀는 행복한 신부입니다.
몇 개를 드릴게요. 하지만 의미 있는 선물을 추천합니다.,그가 무엇을 좋아하는지 주변에 물어봐요.
내 남자친구의 교육은 너무 높아서 난 충분하지 않아,주눅들지 마세요.
남자친구의 학력이 너무 높아서 내가 부족해 보임,공황하지 마
고백 좀 해줘요,먼저 고백하는 것도 좋지만 슬쩍 호감을 표현해보세요.
고백 좀 하지,먼저 고백하는 게 좋지만 조금은 공감을 표출하자
군대 언제 끝나나,군대의 시계는 멈추지 않습니다.
썸 타는 사람이랑 밥 먹기로 함,좋은 데이트 있었으면 좋겠어요
월급 일정을 보고 있어요,기념일이 있나봐요.
또 다른 주말.,어느덧 주말이네요.
또 주말,거의 주말입니다.
스트레칭이 필요해,내일은 더 예뻐지겠네요.
스트레칭 해야되는데,내일은 더 아름다워질 거야
그는 좋은 캐릭터입니다.,가끔은 참지 말고 내려놓기도 하세요.
성격이 좋은 건지.,가끔은 내려놓을 때까지 기다릴 수 없어요.
다 끝났어,수고 많았어요.
술에 취하는 배우자가 무슨 뜻일까요?,확실하진 않지만 당신을 친근하게 생각하나봐요.
술 먹는데 챙겨주는 짝남 무슨 의미일까요.,확실하지는 않지만 친절하다고 생각합니다.
그와 함께 책을 읽어보고 싶으세요?,도서관 데이트나 서점 데이트 좋을 거 같아요.
썸남한테 책 같이 읽자고 할까?,도서관 데이트나 책 가게 데이트가 좋을 것 같아요.
햇빛으로 둘러싸인 밝은 날씨.,행복하길 바랄게요.
나 모르는게 왜 이렇게 많지,그건 확실해요
서로 헤어지면 좋죠?,자신을 위해 좋은 걸 하세요.
헤어지는게 서로를 위해 좋은거겠죠?,자기 자신에게 좋은 일을 해.
"날 신경쓰지 않는 것 같군, 왜 그 끈을 놓지?",그만큼 사랑했던 시간이 있으니까요.
나한테 관심이 없는 것 같은데 왜 끈을 놓지 못할까?,왜냐하면 내가 그녀를 너무 사랑했던 때가 있었기 때문입니다.
그녀를 닮은 소녀를 보고.,그녀가 아니라는 걸 잊지 마세요.
그녀를 닮은 여잘 보고,그녀가 그렇지 않다는 것을 잊지 마세요.
무슨 일이든...,생각이 날 거예요.
난 아직도 혼란스러워,직감을 믿으세요.
아직도 헷갈리네,내 직관을 믿어라
항상 똑같아요,인생이 그런 거예요. 그러다가 다른 게 나타나죠.
맨날 똑같아,"그게 인생이고, 그 다음엔 또 다른 것이 나오죠."
날씨가 너무 눅눅해,바퀴를 돌려라.
2주째요,시간이 더 많이 지나가길 바랄게요.
2주가지나가네,더 많은 시간이 지나길 바랍니다.
다시 돌아올 거란 확신이 있나?,돌아오길 바란다면 연락해보세요.
과연 돌아올까?,돌아가고 싶다면 연락해
다 필요없어,모든 건 필요가 있어요.
다 필요없어,우리는 모든 것을 필요로 합니다.
아무리 열심히 노력해도 자연스러운 것을 따라잡을 수 없습니다.,다른 걸 발전시켜보세요.
아무리 열심히 해도 선천적인 건 못 따라가겠지?,다른 것을 개발해 봅시다.
중2 히스테리 알아?,어려운 시간입니다.
왜 이렇게 오랫동안 단독 타악가였죠?,썸이 아니었을지도 몰라요.
날 만났을 때 돌아보지 않았어,차단하고 보지 마세요. 눈에서 멀어집시다.
나랑 만날땐 안바꾸던 프사,"막지 말고 쳐다봐, 눈에 띄지 마세요."
헤어질때의 모습이 그 사람의 진짜 모습,그게 그가 누구인지에 대한 부분입니다.
갈 때까지 기다릴 수 없어,가세요.
갈까 말까 고민 돼,이리 나가
노트북 백업 안까먹고 해야지,주기적으로 하는 것이 좋습니다.
내가 좋아하는 여자와 어떻게 연락할 수 있을까요?,잘 지내는지 자연스럽게 다가가보세요.
첫사랑과 5년간의 데이트,많은 시간을 함께 했나봐요.
